,submission_time,num_gpus,duration
1361,208,1,1800
1362,208,1,1800
1363,208,1,1800
1364,208,1,1800
1365,208,1,1800
1366,208,1,1800
1367,208,1,1800
1368,208,1,1800
1369,208,1,1800
1370,208,1,1800
1371,208,1,787
1372,208,1,1800
1373,208,1,1800
1374,208,1,1800
1375,208,1,405
1376,208,1,1800
1377,208,1,334
1378,208,1,1800
1379,208,1,1800
1380,208,1,1800
1381,208,1,1800
1382,208,1,1800
1383,208,1,1800
1384,208,1,1800
1385,208,1,1800
1386,208,1,1800
1387,208,1,627
1388,208,1,1280
1389,208,1,1800
1390,208,1,385
1391,208,1,1800
1392,208,1,1800
1393,208,1,1800
1394,208,1,1800
1395,208,1,1800
1396,208,1,1800
1397,208,1,113
1398,208,1,1800
1399,208,1,1800
1400,208,1,1800
1401,208,1,1800
1402,208,1,1800
1403,208,1,1800
1404,208,1,1800
1405,208,1,1800
1406,208,1,1800
1407,208,1,1800
1408,208,1,1210
1409,208,1,788
1410,208,1,1058
1411,208,1,1800
1412,208,1,1800
1413,208,1,324
1414,208,1,1800
1415,208,1,415
1416,208,1,60
1417,208,1,861
1418,208,1,1800
1419,208,1,1049
1420,208,1,536
1421,208,1,1800
1422,208,1,124
1423,208,1,1800
1424,208,1,1800
1425,208,1,757
1426,208,1,1800
1427,208,1,355
1428,208,1,1800
1429,208,1,1800
1430,208,1,1800
1431,208,1,1800
1432,208,1,807
1433,208,1,123
1434,208,1,1800
1435,208,1,1800
1436,208,1,668
1437,208,1,1800
1438,208,1,637
1439,208,1,1800
1440,208,1,1042
1441,208,1,1800
1442,208,1,1800
1443,208,1,1800
1444,208,1,616
1445,208,1,1800
1446,208,1,747
1447,208,1,1056
1448,208,1,1800
1449,208,1,1800
1450,208,1,1800
1451,208,1,1800
1452,208,1,1800
1453,208,1,113
1454,208,1,1638
1455,209,1,1800
1456,209,1,51
1457,209,1,90
1458,210,1,224
1459,210,1,1800
1460,211,1,12
1461,211,1,116
1462,211,1,1800
1463,211,1,41
1464,211,1,586
1465,211,1,5
1466,212,1,72
1467,212,1,121
1468,212,1,135
1469,212,1,738
1470,212,1,356
1471,213,1,52
1472,213,1,335
1473,214,1,1800
1474,214,1,214
1475,214,1,1800
1476,214,1,223
1477,214,1,65
1478,215,1,73
1479,215,1,1800
1480,215,1,309
1481,215,1,576
1482,215,1,4
1483,215,1,758
1484,216,1,285
1485,216,1,1217
1486,216,1,727
1487,216,1,948
1488,216,1,1800
1489,217,1,1800
1490,217,1,1125
1491,218,1,1800
